,movie,year,imdb,metascore,votes
603, The Lion King,2019,6.8,55,266K
604, Glass,2019,6.6,43,266K
605, Ad Astra,2019,6.5,80,259K
606, The Lighthouse,2019,7.4,83,253K
607, Little Women,2019,7.8,91,243K
608, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
609, Doctor Sleep,2019,7.3,59,217K
610, Dark Phoenix,2019,5.7,43,204K
611, Godzilla: King of the Monsters,2019,6.0,48,204K
612, Zombieland: Double Tap,2019,6.7,55,201K
613, 6 Underground,2019,6.1,41,196K
614, Rocketman,2019,7.3,69,194K
615, Frozen II,2019,6.8,64,193K
616,Tenet,2020,7.3,69,588K
617,Soul,2020,8.0,83,377K
618,Wonder Woman 1984,2020,5.4,60,291K
619,A Quiet Place Part II,2020,7.2,71,271K
620,Birds of Prey,2020,6.1,60,264K
621,Extraction,2020,6.8,56,261K
622,The Invisible Man,2020,7.1,72,254K
623, Enola Holmes,2020,6.6,68,218K
624, Promising Young Woman,2020,7.5,72,210K
625, Druk,2020,7.7,79,193K
626, The Trial of the Chicago 7,2020,7.7,76,193K
627, The Father,2020,8.2,88,191K
628, The Old Guard,2020,6.7,70,183K
629, Nomadland,2020,7.3,88,182K
630, Palm Springs,2020,7.4,83,181K
631, Bad Boys for Life,2020,6.5,59,174K
632, Onward,2020,7.4,61,169K
633, Mulan,2020,5.8,66,159K
634, Sonic the Hedgehog,2020,6.5,47,158K
635, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
636, The Devil All the Time,2020,7.1,55,152K
637, I Care a Lot,2020,6.4,66,145K
638, Love and Monsters,2020,6.9,63,145K
639, Greenland,2020,6.4,64,133K
640, The Hunt,2020,6.5,50,128K
641, Greyhound,2020,7.0,64,114K
642, Hamilton,2020,8.3,88,112K
643, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
644, I'm Thinking of Ending Things,2020,6.6,78,99K
645, Project Power,2020,6.0,51,97K
646, Spenser Confidential,2020,6.2,49,97K
647, Underwater,2020,5.9,48,97K
648, Minari,2020,7.4,89,96K
649, News of the World,2020,6.8,73,95K
650,Tenet,2020,7.3,69,588K
651,Soul,2020,8.0,83,377K
652,Wonder Woman 1984,2020,5.4,60,291K
653,A Quiet Place Part II,2020,7.2,71,271K
654,Birds of Prey,2020,6.1,60,264K
655,Extraction,2020,6.8,56,261K
656,The Invisible Man,2020,7.1,72,254K
657, Enola Holmes,2020,6.6,68,218K
658, Promising Young Woman,2020,7.5,72,210K
659, Druk,2020,7.7,79,193K
660, The Trial of the Chicago 7,2020,7.7,76,193K
661, The Father,2020,8.2,88,191K
662, The Old Guard,2020,6.7,70,183K
663, Nomadland,2020,7.3,88,182K
664, Palm Springs,2020,7.4,83,181K
665, Bad Boys for Life,2020,6.5,59,174K
666, Onward,2020,7.4,61,169K
667, Mulan,2020,5.8,66,159K
668, Sonic the Hedgehog,2020,6.5,47,158K
669, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
670, The Devil All the Time,2020,7.1,55,152K
671, I Care a Lot,2020,6.4,66,145K
672, Love and Monsters,2020,6.9,63,145K
673, Greenland,2020,6.4,64,133K
674, The Hunt,2020,6.5,50,128K
675, Greyhound,2020,7.0,64,114K
676, Hamilton,2020,8.3,88,112K
677, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
678, I'm Thinking of Ending Things,2020,6.6,78,99K
679, Project Power,2020,6.0,51,97K
680, Spenser Confidential,2020,6.2,49,97K
681, Underwater,2020,5.9,48,97K
682, Minari,2020,7.4,89,96K
683, News of the World,2020,6.8,73,95K
684,Tenet,2020,7.3,69,588K
685,Soul,2020,8.0,83,377K
686,Wonder Woman 1984,2020,5.4,60,291K
687,A Quiet Place Part II,2020,7.2,71,271K
688,Birds of Prey,2020,6.1,60,264K
689,Extraction,2020,6.8,56,261K
690,The Invisible Man,2020,7.1,72,254K
691, Enola Holmes,2020,6.6,68,218K
692, Promising Young Woman,2020,7.5,72,210K
693, Druk,2020,7.7,79,193K
694, The Trial of the Chicago 7,2020,7.7,76,193K
695, The Father,2020,8.2,88,191K
696, The Old Guard,2020,6.7,70,183K
697, Nomadland,2020,7.3,88,182K
698, Palm Springs,2020,7.4,83,181K
699, Bad Boys for Life,2020,6.5,59,174K
700, Onward,2020,7.4,61,169K
701, Mulan,2020,5.8,66,159K
702, Sonic the Hedgehog,2020,6.5,47,158K
703, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
704, The Devil All the Time,2020,7.1,55,152K
705, I Care a Lot,2020,6.4,66,145K
706, Love and Monsters,2020,6.9,63,145K
707, Greenland,2020,6.4,64,133K
708, The Hunt,2020,6.5,50,128K
709, Greyhound,2020,7.0,64,114K
710, Hamilton,2020,8.3,88,112K
711, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
712, I'm Thinking of Ending Things,2020,6.6,78,99K
713, Project Power,2020,6.0,51,97K
714, Spenser Confidential,2020,6.2,49,97K
715, Underwater,2020,5.9,48,97K
716, Minari,2020,7.4,89,96K
717, News of the World,2020,6.8,73,95K
718,Tenet,2020,7.3,69,588K
719,Soul,2020,8.0,83,377K
720,Wonder Woman 1984,2020,5.4,60,291K
721,A Quiet Place Part II,2020,7.2,71,271K
722,Birds of Prey,2020,6.1,60,264K
723,Extraction,2020,6.8,56,261K
724,The Invisible Man,2020,7.1,72,254K
725, Enola Holmes,2020,6.6,68,218K
726, Promising Young Woman,2020,7.5,72,210K
727, Druk,2020,7.7,79,193K
728, The Trial of the Chicago 7,2020,7.7,76,193K
729, The Father,2020,8.2,88,191K
730, The Old Guard,2020,6.7,70,183K
731, Nomadland,2020,7.3,88,182K
732, Palm Springs,2020,7.4,83,181K
733, Bad Boys for Life,2020,6.5,59,174K
734, Onward,2020,7.4,61,169K
735, Mulan,2020,5.8,66,159K
736, Sonic the Hedgehog,2020,6.5,47,158K
737, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
738, The Devil All the Time,2020,7.1,55,152K
739, I Care a Lot,2020,6.4,66,145K
740, Love and Monsters,2020,6.9,63,145K
741, Greenland,2020,6.4,64,133K
742, The Hunt,2020,6.5,50,128K
743, Greyhound,2020,7.0,64,114K
744, Hamilton,2020,8.3,88,112K
745, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
746, I'm Thinking of Ending Things,2020,6.6,78,99K
747, Project Power,2020,6.0,51,97K
748, Spenser Confidential,2020,6.2,49,97K
749, Underwater,2020,5.9,48,97K
750, Minari,2020,7.4,89,96K
751, News of the World,2020,6.8,73,95K
752,Tenet,2020,7.3,69,588K
753,Soul,2020,8.0,83,377K
754,Wonder Woman 1984,2020,5.4,60,291K
755,A Quiet Place Part II,2020,7.2,71,271K
756,Birds of Prey,2020,6.1,60,264K
757,Extraction,2020,6.8,56,261K
758,The Invisible Man,2020,7.1,72,254K
759, Enola Holmes,2020,6.6,68,218K
760, Promising Young Woman,2020,7.5,72,210K
761, Druk,2020,7.7,79,193K
762, The Trial of the Chicago 7,2020,7.7,76,193K
763, The Father,2020,8.2,88,191K
764, The Old Guard,2020,6.7,70,183K
765, Nomadland,2020,7.3,88,182K
766, Palm Springs,2020,7.4,83,181K
767, Bad Boys for Life,2020,6.5,59,174K
768, Onward,2020,7.4,61,169K
769, Mulan,2020,5.8,66,159K
770, Sonic the Hedgehog,2020,6.5,47,158K
771, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
772, The Devil All the Time,2020,7.1,55,152K
773, I Care a Lot,2020,6.4,66,145K
774, Love and Monsters,2020,6.9,63,145K
775, Greenland,2020,6.4,64,133K
776, The Hunt,2020,6.5,50,128K
777, Greyhound,2020,7.0,64,114K
778, Hamilton,2020,8.3,88,112K
779, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
780, I'm Thinking of Ending Things,2020,6.6,78,99K
781, Project Power,2020,6.0,51,97K
782, Spenser Confidential,2020,6.2,49,97K
783, Underwater,2020,5.9,48,97K
784, Minari,2020,7.4,89,96K
785, News of the World,2020,6.8,73,95K
